id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
5cfEOgovN0KT3lWKisVkfi,Hasbelkader,47,audio_features,False,False,152727,1,1,6iBdV6h17D1kOnK9lFyWo3,Bilal Sonses,6iBdV6h17D1kOnK9lFyWo3,Bilal Sonses,1AKnISQKhqkOgMaFc9SckH,Hasbelkader,2020-11-13,1,album,"['turkish pop', 'turkish trap pop']","['turkish pop', 'turkish trap pop']",0.774,0.635,5,-5.015,1,0.0613,0.153,0.0,0.102,0.708,132.071,spotify:track:5cfEOgovN0KT3lWKisVkfi,https://api.spotify.com/v1/tracks/5cfEOgovN0KT3lWKisVkfi,https://api.spotify.com/v1/audio-analysis/5cfEOgovN0KT3lWKisVkfi,4
3FeVmId7tL5YN8B7R3imoM,My Universe,94,audio_features,False,False,228000,1,1,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,39McjovZ3M6n5SFtNmWTdp,My Universe,2021-09-24,2,album,"['permanent wave', 'pop']","['permanent wave', 'pop']",0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,spotify:track:3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/tracks/3FeVmId7tL5YN8B7R3imoM,https://api.spotify.com/v1/audio-analysis/3FeVmId7tL5YN8B7R3imoM,4
2FmYwQGim3V5Rpfx1Icd25,Metris'in Önünde,45,audio_features,False,False,177308,1,6,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,3gfc75SzPUZvMXGpX8SYfd,An Gelir,1986,11,album,['turkish folk'],['turkish folk'],0.562,0.381,10,-13.809,1,0.0538,0.855,1.93e-05,0.174,0.543,152.836,spotify:track:2FmYwQGim3V5Rpfx1Icd25,https://api.spotify.com/v1/tracks/2FmYwQGim3V5Rpfx1Icd25,https://api.spotify.com/v1/audio-analysis/2FmYwQGim3V5Rpfx1Icd25,4
3xfTebHJnKUlqWBHiG6ieK,Kirvem,19,audio_features,False,False,222407,1,11,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,1apn4ftAs1bdoE5xuWMnfZ,Çifte Çiftetelli,1997-02-04,12,album,"['anadolu rock', 'azeri traditional', 'turkish folk', 'turkish jazz', 'turkish psych']","['anadolu rock', 'azeri traditional', 'turkish folk', 'turkish jazz', 'turkish psych']",0.579,0.569,4,-8.972,0,0.0546,0.639,1.33e-06,0.308,0.617,138.016,spotify:track:3xfTebHJnKUlqWBHiG6ieK,https://api.spotify.com/v1/tracks/3xfTebHJnKUlqWBHiG6ieK,https://api.spotify.com/v1/audio-analysis/3xfTebHJnKUlqWBHiG6ieK,3
1RMnFV3jidSADH1ZSF8EAr,Nereden Bileceksiniz,63,audio_features,False,False,360327,1,3,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,1Y2FwScblyMxpLTrNdfwyU,Ahmet Kaya,27dDxMGawvjeKQ2aYWfPRI,Dosta Düşmana Karşı,1998-03-06,12,album,['turkish folk'],['turkish folk'],0.506,0.71,2,-6.564,0,0.0348,0.747,5.78e-05,0.13,0.512,108.973,spotify:track:1RMnFV3jidSADH1ZSF8EAr,https://api.spotify.com/v1/tracks/1RMnFV3jidSADH1ZSF8EAr,https://api.spotify.com/v1/audio-analysis/1RMnFV3jidSADH1ZSF8EAr,4
2lN6njvQIWp5ZSFzmAME5k,Öyle Bir Yerdeyim ki,62,audio_features,False,False,309000,1,4,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,Selda Bağcan,32YFmtwnFHEiNam28vmaqs,Dost Merhaba,1986-11-26,12,album,"['anadolu rock', 'azeri traditional', 'turkish folk', 'turkish jazz', 'turkish psych']","['anadolu rock', 'azeri traditional', 'turkish folk', 'turkish jazz', 'turkish psych']",0.595,0.436,7,-11.299,0,0.0299,0.719,9.32e-05,0.118,0.364,110.079,spotify:track:2lN6njvQIWp5ZSFzmAME5k,https://api.spotify.com/v1/tracks/2lN6njvQIWp5ZSFzmAME5k,https://api.spotify.com/v1/audio-analysis/2lN6njvQIWp5ZSFzmAME5k,4
4saklk6nie3yiGePpBwUoc,Dynamite,83,audio_features,False,False,199054,1,8,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3Nrfpe0tUJi4K4DXYWgMUX,BTS,2qehskW9lYGWfYb0xPZkrS,BE,2020-11-20,8,album,"['k-pop', 'k-pop boy group']","['k-pop', 'k-pop boy group']",0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,spotify:track:4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/tracks/4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,4
1cKjQR6gA0zwI54srjtpzi,Bu da Geçer,41,audio_features,False,False,213893,1,1,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,0gPgE6wLLiPnrakh9WcsdQ,İbrahim Tatlıses,6FwzmeopkDk0dfBOVGbdIL,Acı Gerçekler,1989-12-22,15,album,"['arabesk', 'turkish folk']","['arabesk', 'turkish folk']",0.498,0.449,6,-10.404,0,0.0349,0.91,0.000124,0.242,0.431,100.317,spotify:track:1cKjQR6gA0zwI54srjtpzi,https://api.spotify.com/v1/tracks/1cKjQR6gA0zwI54srjtpzi,https://api.spotify.com/v1/audio-analysis/1cKjQR6gA0zwI54srjtpzi,4
26riHKHPJxAkZPIhysiNnd,Kış Bahçeleri,63,audio_features,False,False,182763,1,5,1qZ684TB9E1BjH58btdtYd,Buray,1qZ684TB9E1BjH58btdtYd,Buray,54fUFXduCOTJEksa3bUU89,Kehanet,2018-10-19,12,album,"['turkish deep house', 'turkish pop', 'turkish trap pop']","['turkish deep house', 'turkish pop', 'turkish trap pop']",0.501,0.488,11,-7.806,0,0.0499,0.464,0.0,0.197,0.404,139.933,spotify:track:26riHKHPJxAkZPIhysiNnd,https://api.spotify.com/v1/tracks/26riHKHPJxAkZPIhysiNnd,https://api.spotify.com/v1/audio-analysis/26riHKHPJxAkZPIhysiNnd,3
6lhvEcpI2QX2dWjihx2DGc,Dalgalandım,27,audio_features,False,False,297000,1,3,4cMwyqmHCwJjRZ3frIVHTr,Müslüm Gürses,4cMwyqmHCwJjRZ3frIVHTr,Müslüm Gürses,6AEshOVH7FrBajslfjQ3dS,Mutlu Ol Yeter (Remastered),1981,10,album,['arabesk'],['arabesk'],0.404,0.605,10,-7.065,1,0.0305,0.484,0.00264,0.199,0.394,130.373,spotify:track:6lhvEcpI2QX2dWjihx2DGc,https://api.spotify.com/v1/tracks/6lhvEcpI2QX2dWjihx2DGc,https://api.spotify.com/v1/audio-analysis/6lhvEcpI2QX2dWjihx2DGc,4
