id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type,added_at,genres,album_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,time_signature
544iFVaChEJGWdQseGq1E0,(K)açık Deniz - Remix,20,audio_features,False,False,225467,1,12,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.708,0.546,1,-7.876,0,0.0352,0.0638,0.0311,0.0469,0.74,136.023,spotify:track:544iFVaChEJGWdQseGq1E0,https://api.spotify.com/v1/tracks/544iFVaChEJGWdQseGq1E0,https://api.spotify.com/v1/audio-analysis/544iFVaChEJGWdQseGq1E0,4
6eFKgvrLxC1bCr5HSOz1qH,(c)esaret - Remix,18,audio_features,False,False,203360,1,13,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:34Z,['turkish pop'],['turkish pop'],0.778,0.524,11,-8.641,0,0.0426,0.134,0.0159,0.0977,0.657,123.985,spotify:track:6eFKgvrLxC1bCr5HSOz1qH,https://api.spotify.com/v1/tracks/6eFKgvrLxC1bCr5HSOz1qH,https://api.spotify.com/v1/audio-analysis/6eFKgvrLxC1bCr5HSOz1qH,4
5FH9NxVqSMCUTAOaocK5Y1,Zor Sevdiğimden,47,audio_features,False,False,214373,1,8,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,4Fv6YanGL9oUQEZv3eiCK8,Vaveyla,2012-12-01,13,album,2018-08-27T23:31:24Z,['turkish pop'],['turkish pop'],0.651,0.264,1,-12.425,0,0.0412,0.763,3.27e-06,0.133,0.377,137.762,spotify:track:5FH9NxVqSMCUTAOaocK5Y1,https://api.spotify.com/v1/tracks/5FH9NxVqSMCUTAOaocK5Y1,https://api.spotify.com/v1/audio-analysis/5FH9NxVqSMCUTAOaocK5Y1,4
4dXEUCEfsCOyJVQXQ1cWG2,Hatıran Yeter,36,audio_features,False,False,225575,1,1,70Ya7DKJEo20SAkxjirYnu,Zakkum,70Ya7DKJEo20SAkxjirYnu,Zakkum,1xX97KHEPMxRwdag8Xn2yA,Hatıran Yeter,2018-01-31,1,album,2018-08-27T23:26:58Z,"['turkish pop', 'turkish rock']","['turkish pop', 'turkish rock']",0.584,0.478,10,-8.479,1,0.0316,0.359,0.00282,0.112,0.513,97.097,spotify:track:4dXEUCEfsCOyJVQXQ1cWG2,https://api.spotify.com/v1/tracks/4dXEUCEfsCOyJVQXQ1cWG2,https://api.spotify.com/v1/audio-analysis/4dXEUCEfsCOyJVQXQ1cWG2,4
4LTOzL6JsnQBifmpsbo9a5,September Song - Guitar Acoustic,0,audio_features,False,False,212153,1,1,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,JP Cooper,58wAIiRLQ5q2yMN76ys9F2,September Song (Guitar Acoustic),2016-10-14,1,album,2018-08-25T11:52:37Z,"['neo mellow', 'pop', 'pop rock', 'tropical house', 'uk pop']","['neo mellow', 'pop', 'pop rock', 'tropical house', 'uk pop']",0.41,0.428,0,-7.927,0,0.0329,0.359,0.0,0.138,0.526,88.361,spotify:track:4LTOzL6JsnQBifmpsbo9a5,https://api.spotify.com/v1/tracks/4LTOzL6JsnQBifmpsbo9a5,https://api.spotify.com/v1/audio-analysis/4LTOzL6JsnQBifmpsbo9a5,4
7gVBniGxPuV93uoTEia28U,Gidemem,50,audio_features,False,False,315200,1,2,64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,64d1rUxfizSAOE9UbMnUZd,Sezen Aksu,5I7XD7PnAQz7apGrCh38Oj,Kardelen,2005-09-10,8,album,2018-08-04T14:49:20Z,['turkish pop'],['turkish pop'],0.476,0.667,11,-5.959,0,0.0909,0.286,1.71e-06,0.0981,0.389,143.934,spotify:track:7gVBniGxPuV93uoTEia28U,https://api.spotify.com/v1/tracks/7gVBniGxPuV93uoTEia28U,https://api.spotify.com/v1/audio-analysis/7gVBniGxPuV93uoTEia28U,4
1yP8Yqwu8YS3BiBKVWCjpR,Think Before I Talk - Acoustic,0,audio_features,False,False,217400,1,1,3AVfmawzu83sp94QW7CEGm,Astrid S,3AVfmawzu83sp94QW7CEGm,Astrid S,5yCg1UKkzPTmX8U3aZ9nZk,Think Before I Talk (Acoustic),2017-10-27,1,album,2018-06-18T16:28:27Z,"['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']","['alt z', 'dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'tropical house']",0.778,0.225,5,-8.848,1,0.0523,0.947,0.0,0.103,0.288,106.996,spotify:track:1yP8Yqwu8YS3BiBKVWCjpR,https://api.spotify.com/v1/tracks/1yP8Yqwu8YS3BiBKVWCjpR,https://api.spotify.com/v1/audio-analysis/1yP8Yqwu8YS3BiBKVWCjpR,4
4SVOW8kKXfvK8mK1WPnca4,Öndeyiş,0,audio_features,False,False,28573,1,1,7JVJiShPyjp98hKUgYHCi6,Fatih Ahıskalı,5gFPi3KWXEwA9bLEO47Ow0,Sıla,2zSzfMd1A2eMjqljtZUX9f,Konuşmadığımız Şeyler Var,2010-11-29,12,album,2018-05-28T09:57:24Z,[],['turkish pop'],0.571,0.429,5,-13.899,0,0.113,0.841,0.679,0.135,0.469,89.831,spotify:track:4SVOW8kKXfvK8mK1WPnca4,https://api.spotify.com/v1/tracks/4SVOW8kKXfvK8mK1WPnca4,https://api.spotify.com/v1/audio-analysis/4SVOW8kKXfvK8mK1WPnca4,1
7MnrlQCQBeL4OzAjcl7nwG,Acısa da Öldürmez,52,audio_features,False,False,204627,1,2,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,2zSzfMd1A2eMjqljtZUX9f,Konuşmadığımız Şeyler Var,2010-11-29,12,album,2018-05-28T09:57:24Z,['turkish pop'],['turkish pop'],0.64,0.73,5,-3.885,0,0.169,0.375,0.0,0.0475,0.845,175.988,spotify:track:7MnrlQCQBeL4OzAjcl7nwG,https://api.spotify.com/v1/tracks/7MnrlQCQBeL4OzAjcl7nwG,https://api.spotify.com/v1/audio-analysis/7MnrlQCQBeL4OzAjcl7nwG,4
5tM5kDTxYKCFJzlfyXiTpF,Kafa,59,audio_features,False,False,177733,1,3,5gFPi3KWXEwA9bLEO47Ow0,Sıla,5gFPi3KWXEwA9bLEO47Ow0,Sıla,2zSzfMd1A2eMjqljtZUX9f,Konuşmadığımız Şeyler Var,2010-11-29,12,album,2018-05-28T09:57:24Z,['turkish pop'],['turkish pop'],0.562,0.789,5,-3.651,0,0.0592,0.0154,0.0,0.0765,0.96,120.053,spotify:track:5tM5kDTxYKCFJzlfyXiTpF,https://api.spotify.com/v1/tracks/5tM5kDTxYKCFJzlfyXiTpF,https://api.spotify.com/v1/audio-analysis/5tM5kDTxYKCFJzlfyXiTpF,4
