id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
1Hv1VTm8zeOeybub15mA2R,Smooth Operator - Single Version,71,track,False,False,258693,1,3,47zz7sob9NUcODy0BTDvKx,Sade,47zz7sob9NUcODy0BTDvKx,Sade,3uSWaQxJAdm5MWKQkQJNoK,The Best of Sade,1994-10-31,16,album
1pHmzDPJvQWFFePYae4RY5,Night Calls,44,track,False,False,208466,1,5,3pFCERyEiP5xeN2EsPXhjI,Joe Cocker,3pFCERyEiP5xeN2EsPXhjI,Joe Cocker,61HuqPzUcoc940Bf7Ss0ob,Night Calls,1991-10-07,15,album
2pmN85k5m9nO1rWaCDdrNE,Let Love Rule,53,track,False,False,342160,1,2,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz,70Vuh3jYUMO8LLP5BaqZMb,Let Love Rule,1989-09-19,13,album
7KPUNvu6Vvh3FBsWU2HjeD,This Is What You Are,55,track,False,False,431098,1,3,1dRsXw2TtfCXfqMLRiP088,Mario Biondi,1dRsXw2TtfCXfqMLRiP088,Mario Biondi,5hV1nRuvWd89OJqkERsubL,Handful Of Soul,2006,12,album
573Z2Dty5epeNgKsgoDOlr,Child in Time - 1995 Remaster,59,track,False,False,613440,1,3,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Deep Purple,2bjTVISSsvwia7uxrrEsuQ,Deep Purple in Rock (Anniversary Edition),1970-06-03,20,album
1JGW1e2tacnCgBPfRH0haY,Bird of Paradise,58,track,False,False,281466,1,1,4DMlDJn7CPSSS0DuUf1vrH,Snowy White,4DMlDJn7CPSSS0DuUf1vrH,Snowy White,661y6tO5MbvfHAYGPOPYmM,Bird of Paradise - An Anthology,2003-08-18,32,album
10tdqQKFhddpkjzxllTVRj,Crazy,59,track,False,False,268040,1,3,5GtMEZEeFFsuHY8ad4kOxv,Seal,5GtMEZEeFFsuHY8ad4kOxv,Seal,19HYZxcJ0K0CinYb3Mmjap,Seal,1991-06-11,9,album
6OuRbvP4PgbuzBIapVzmFJ,Sailing,70,track,False,False,277960,1,10,2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,7vV3q5jE7DSuKsnHr7OmmN,Atlantic Crossing,1975,10,album
5yJrl2r0vr6u9BXqQXZE3V,La vie en rose,64,track,False,False,448000,1,4,2f9ZiYA2ic1r1voObUimdd,Grace Jones,2f9ZiYA2ic1r1voObUimdd,Grace Jones,1omnfUAyi7BQRSLYcf3sZ4,Portfolio,1977-01-01,7,album
58N360dQMsyXxgU8pA5vxb,Düşün ki,53,track,False,False,182934,1,1,3IiSjfHNSsynS08uC6w9u3,Sancak,3IiSjfHNSsynS08uC6w9u3,Sancak,30oMKrVUW3SROwkOBWaFmW,Gözyaşı,2018-06-01,10,album
1EuFr1JA70TaEzlaSM4ulc,366.Gün,60,track,False,False,235078,1,1,1KXTegXtnCPKXjRaX1llcD,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,Sagopa Kajmer,3u2FaquJ6j3qbKUoGH8A4G,366.Gün,2017-01-01,1,album
7EEkn8Si4ORtuopSXKTKLZ,Wet,23,track,False,True,211885,1,1,6xLv41SHPrVVfvyGd1M7ut,Ozan Doğulu,6xLv41SHPrVVfvyGd1M7ut,Ozan Doğulu,7jZw6ycKGAfeq3D0BDNnoU,Wet,2016-06-08,1,album
4ZkwCJ2aorTrwgbx3J59oo,Mevsim Sonbahar,43,track,False,False,216406,1,1,052U3i0lM0CeCkJRrES8XK,Emir,052U3i0lM0CeCkJRrES8XK,Emir,5tlKqWAJXnijTA1yaQUmmc,Mevsim Sonbahar,2016-10-21,1,album
0JXG1k1kleTMnPVgFU3Zcw,Age of Emotions,42,track,False,False,296013,1,2,3t8WiyalpvnB9AObcMufiE,Mahmut Orhan,2X2QKxpUF4yemFqILMoZUQ,Buddha-Bar,2AjjtbXtsRAm48cb0u5UET,Buddha Bar Clubbing by Ravin,2015-10-16,14,album
7GSZ0Ya1q1MjzQqqzklhJQ,Bebeğim,43,track,False,False,233177,1,1,56x1jJZ4DrXu3NXMfHpolC,Serkan Kaya,56x1jJZ4DrXu3NXMfHpolC,Serkan Kaya,40wcxMDc6XawSACJxDCB8K,Gönül Bahçem / Bebeğim / Yiğide Neyler Zulüm (Deluxe),2016-02-02,15,album
0K08fOwiyBmI5vKPursB8w,Çek Silahını Daya Göğsüme,33,track,False,False,179100,1,12,6XJtmq30U5RDBwnLbcN33E,Çağatay Akman,6XJtmq30U5RDBwnLbcN33E,Çağatay Akman,5MNjOy7d8Q9K9horKEh5gQ,Yirmi - Bir,2019-07-31,16,album
